INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,109,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,110,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,111,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,112,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,113,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,114,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,115,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,116,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,117,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,118,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,119,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,120,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,121,2020-01-01,,-21
Trend GLG naar 2050,d_swf_welstandsgebieden,170,2020-01-01,,-18
Trend GLG naar 2050,d_swf_welstandsgebieden,171,2020-01-01,,7
Trend GLG naar 2050,d_swf_welstandsgebieden,172,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,126,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,127,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,128,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,152,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,153,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,154,2020-01-01,,-24
Trend GLG naar 2050,d_swf_welstandsgebieden,137,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,167,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,145,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,146,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,147,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,148,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,138,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,139,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,140,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,141,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,163,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,164,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,165,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,166,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,186,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,187,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,150,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,151,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,156,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,157,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,188,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,189,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,190,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,175,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,176,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,177,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,178,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,149,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,194,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,158,2020-01-01,,-24
Trend GLG naar 2050,d_swf_welstandsgebieden,159,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,160,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,161,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,162,2020-01-01,,5
Trend GLG naar 2050,d_swf_welstandsgebieden,232,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,191,2020-01-01,,-13
